지역,시군구,읍면동,상세주소,구분,장소유형,위도,경도
충청남도,태안군,고남면,장삼포해수욕장 해변,고립,,36.42016667,126.3556667
충청남도 ,태안군,고남면,구매항 ,고립,,36.42153,126.425735
충청남도,태안군,고남면,태안군 고남면 구매항 선착장,고립,,36.42154167,126.425735
충청남도,태안군,안면읍,중장리 대야도 선착장,고립,,36.46677,126.409645
충청남도,태안군,안면읍,꽃지해수욕장 백사장(리솜오션캐슬 앞),고립,,36.48638833,126.33498
충청남도,태안군,안면읍,방포항,추락,,36.50228,126.3347467
충청남도,안면읍,방포항,충남 태안군 안면읍 방포항,추락,,36.50313,126.3259583
충청남도,태안군,안면읍,안면해수욕장,고립,,36.54283333,126.3236667
충청남도,태안군,안면읍,충남 태안군 안면읍 황도,고립,,36.60016667,126.3848333
충청남도,서산시,부석면,간월암 삼거리 해변,추락,,36.60321167,126.4076417
충청남도,태안군,남면,당암리 수협위판장 앞 ,고립,,36.6195,126.3531667
충청남도,태안군,남면,당암리 선착장,고립,,36.61966667,126.3536667
충청남도,태안군,남면,태안군 마검포항 선착장,추락,,36.62083333,126.2845
충청남도,서산시,부석면,창리항 선착장,고립,,36.62139667,126.36707
충청남도,태안군,남면,충남 태안군 남면 천수만로 467번지(남면 당알리 관광안내소),추락,,36.62162167,126.3557483
충청남도,태안군,남면,몽산포항 내,고립,,36.670105,126.270505
충청남도,태안군,근흥면,신진항 물량장 앞,추락,,36.67329,126.13517
충청남도,태안군,근흥면,신진도 수협위판장 앞  ,추락,,36.67383333,126.135
충청남도,태안군,소원면,어은돌항 물양장 내,고립,,36.74316667,126.123
충청남도,태안군,소원면,만리포해수욕장 돌섬횟집 앞 백사장,고립,,36.78466667,126.1383333
충청남도,태안군,소원면,만리포해수욕장 해변,고립,,36.78483333,126.1381667
충청남도,태안군,소원면,충남 태안군 천리포 출장소 앞 슬립웨이 끝단,고립,,36.80216667,126.1418333
충청남도,태안군,소원면,의항리 3구 소근진 소들선착장 ,고립,,36.81851333,126.17559
충청남도,태안군,소원면,충남 태안군 소원면 소재 의향 남향 갯바위 끝단,고립,,36.82175333,126.171305
충청남도,서산시,팔봉면,구도항 선착장,고립,,36.82296333,126.3221067
충청남도,태안군,소원면,의항리 개목항 방향 웅도 방조제,고립,,36.82383333,126.1671667
충청남도,태안군,원북면,신두리 해안사구 로타리 해변,고립,,36.83566667,126.184
충청남도,태안군,원북면,충남 태안군 원북면 신두리 사구,고립,,36.838,126.1871667
충청남도,태안군,원북면,신두리 해안사구 앞 해변 ,고립,,36.84066667,126.1903333
충청남도,태안군,원북면,신두리 해안사구 우측 끝단 모래사장,고립,,36.8505,126.1921667
충청남도,태안군,원북면,충남 태안군 원북면 소재 구례포해수욕장 좌측 끝단,고립,,36.884,126.1893333
충청남도,태안군,학암포,충남 태안군 학암포 안채 해수욕장 모래사장,고립,,36.89266667,126.205
충청남도,태안군,원북면,학암포항 선착장 ,추락,,36.90160667,126.2038667
충청남도,서산시,대산읍,웅도 잠수교,고립,,36.922,126.3873333
충청남도,서산시,대산읍,웅도 잠수교,고립,,36.92233333,126.3873333
충청남도,서산시,대산읍,오지리 벌말항 선착장 끝단,고립,,36.95678667,126.3334067
충청남도,보령시,웅천읍,보령시 웅천읍 독산해수욕장 백사장,고립,,36.2202,126.5251833
충청남도,보령시,웅천읍,독산해수욕장 안쪽 슬립웨이 부근,고립,,36.22616667,126.5245
충청남도,보령시,웅천읍,무창포항 우정수산 앞 슬립웨이,고립,,36.24208667,126.536715
충청남도,보령시,남포면,충남 보령시 남포면 월전리 용두해수욕장,고립,,36.25666667,126.5405
충청남도,보령시,신흑동,대천해수욕장 4번망루 인근 해변,고립,,36.30399833,126.5093617
충청남도,보령시,신흑동,보령시 신흑동 대천해수욕장 신광장 앞 해변,고립,,36.30833333,126.506
